ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
12,60,0.650,0.050,0.030,0.35,87.4251,87.4251,0.0000
12,60,0.650,0.050,0.040,0.35,86.8263,86.8263,0.0000
12,60,0.650,0.050,0.050,0.35,85.1388,85.1388,0.0000
12,60,0.650,0.050,0.060,0.35,76.1568,76.1568,0.0000
12,60,0.650,0.050,0.070,0.35,80.5117,80.5117,0.0000
12,60,0.650,0.060,0.030,0.35,88.0240,88.0240,0.0000
12,60,0.650,0.060,0.040,0.35,87.7518,87.7518,0.0000
12,60,0.650,0.060,0.050,0.35,81.0561,81.0561,0.0000
12,60,0.650,0.060,0.060,0.35,77.2455,77.2455,0.0000
12,60,0.650,0.060,0.070,0.35,75.5035,75.5035,0.0000
12,60,0.650,0.070,0.030,0.35,86.7719,86.7719,0.0000
12,60,0.650,0.070,0.040,0.35,85.2477,85.2477,0.0000
12,60,0.650,0.070,0.050,0.35,82.5259,82.5259,0.0000
12,60,0.650,0.070,0.060,0.35,82.8525,82.8525,0.0000
12,60,0.650,0.070,0.070,0.35,81.3827,81.3827,0.0000
12,60,0.650,0.080,0.030,0.35,85.4110,85.4110,0.0000
12,60,0.650,0.080,0.040,0.35,83.9412,83.9412,0.0000
12,60,0.650,0.080,0.050,0.35,83.2880,83.2880,0.0000
12,60,0.650,0.080,0.060,0.35,80.7839,80.7839,0.0000
12,60,0.650,0.080,0.070,0.35,82.1992,82.1992,0.0000
-------------------------------------------
12,60,0.800,0.020,0.030,0.35,85.1932,85.1932,0.0000
12,60,0.800,0.020,0.040,0.35,82.9069,82.9069,0.0000
12,60,0.800,0.020,0.050,0.35,87.8062,87.8062,0.0000
12,60,0.800,0.020,0.060,0.35,82.1448,82.1448,0.0000
12,60,0.800,0.020,0.070,0.35,79.9129,79.9129,0.0000
